30843	36004	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	38366	39015	43542	43542	43542	43542	43542	43542	43542	43542	46039	46039	46039	46039	46039	46039	46039	46039	46039	46039	46039	46039	46039	46039	47375	47375	47375	47375	47375	47375	47375	47375	47375	47626	48084	48084	50080	50080	50080	50080	50080	54068	54068	54423	54423	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	58825	
24757	24757	25657	26867	26867	26867	27545	27545	28196	29591	29591	29716	29716	30238	30238	30238	31440	31440	31849	31849	31849	31849	31849	31849	31849	31849	32331	32331	37659	37659	42219	42219	42219	42219	42219	42219	44036	44059	44059	44059	44648	44648	44648	44648	44648	44810	44810	44810	44810	50622	50622	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	56302	
27148	29925	31319	31319	31319	31425	31425	38078	38078	40475	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48384	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	48902	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	53889	56025	56025	56025	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	60922	
30194	30194	34830	34830	34830	34830	34830	34830	34830	35965	35965	35965	35965	35965	35965	35965	35965	35965	35965	35965	35965	35965	35965	40550	40550	40550	40550	40550	40550	40550	40943	43421	43421	43421	43421	43421	43421	43421	43421	43421	43421	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	45841	46227	49719	49719	52070	52070	52070	52070	52070	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	58100	
26242	31290	31290	31290	31290	31290	31290	31290	31290	31290	32952	32952	33424	33424	33424	33424	33424	36500	36500	36814	36814	38431	38431	38431	47249	47249	47249	47249	47249	47249	47249	47249	47249	47249	47249	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	47393	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	48122	51558	51558	51558	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	51850	
34966	36409	38712	38712	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	42429	43004	43479	43479	43479	43479	43479	43479	43479	43479	43479	49427	49427	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	51742	
30013	30013	30013	30013	30115	30115	30115	30115	30115	30115	31542	31542	36434	37325	37325	37325	37325	37325	37325	37325	37325	37325	38944	39395	39675	39675	39675	39675	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	41566	
36028	36028	37498	39088	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	42413	49501	49501	49501	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51164	51767	51767	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	56114	
24905	24905	24905	31219	40162	40658	40658	40658	40658	40658	40658	41190	41190	41902	41902	42275	42275	42275	42275	42275	42275	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	46143	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	49858	
21495	27702	28756	30756	37433	37433	37433	37433	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39891	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	39937	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	40439	42638	43542	
